   1 | 11/08/2011 | 12:33:24 | Event Logging Disabled #0x07 | Log area reset/cleared | Asserted
   2 | 11/10/2011 | 11:16:57 | System Event #0x83 | Timestamp Clock Sync | Asserted
   3 | 11/10/2011 | 11:16:57 | System Event #0x83 | Timestamp Clock Sync | Asserted
   4 | 11/10/2011 | 10:17:16 | Power Unit #0x01 | Power off/down | Asserted
   5 | 11/10/2011 | 11:17:15 | Power Unit #0x01 | Power off/down | Deasserted
   6 | 11/10/2011 | 11:17:15 | Button #0x09 | Power Button pressed | Asserted
   7 | 11/10/2011 | 11:17:18 | Power Supply #0x50 | Config Error: Revision Mismatch | Deasserted
   8 | 11/10/2011 | 11:17:19 | Power Supply #0x50 | Config Error: Revision Mismatch | Asserted
   9 | 11/10/2011 | 11:17:19 | Power Supply #0x50 | Config Error: Revision Mismatch | Deasserted
   a | 11/10/2011 | 11:17:20 | Power Supply #0x50 | Config Error: Revision Mismatch | Asserted
   b | 11/10/2011 | 11:17:27 | System Event #0x83 | Timestamp Clock Sync | Asserted
   c | 11/10/2011 | 11:17:28 | System Event #0x83 | Timestamp Clock Sync | Asserted
   d | 11/10/2011 | 11:18:00 | System Event #0x83 | OEM System boot event | Asserted
   e | 11/10/2011 | 13:12:49 | Button #0x09 | Power Button pressed | Asserted
   f | 11/10/2011 | 13:12:57 | System Event #0x83 | Timestamp Clock Sync | Asserted
  10 | 11/10/2011 | 13:12:58 | System Event #0x83 | Timestamp Clock Sync | Asserted
  11 | 11/10/2011 | 13:12:58 | Power Unit #0x01 | Power off/down | Asserted
  12 | 11/10/2011 | 13:33:40 | Processor #0x70 | Presence detected | Asserted
  13 | 11/10/2011 | 13:33:40 | Processor #0x71 | Presence detected | Asserted
  14 | 11/10/2011 | 13:33:44 | Power Supply #0x50 | Config Error: Revision Mismatch | Asserted
  15 | 11/10/2011 | 13:33:47 | System Event #0x83 | Timestamp Clock Sync | Asserted
  16 | 11/10/2011 | 13:33:47 | System Event #0x83 | Timestamp Clock Sync | Asserted
  17 | 11/10/2011 | 13:33:55 | Management Subsystem Health #0x10 | Sensor failure | Asserted
  18 | 11/10/2011 | 13:33:55 | Management Subsystem Health #0x10 | Sensor failure | Asserted
  19 | 11/10/2011 | 13:34:02 | Management Subsystem Health #0x10 | Sensor failure | Asserted
  1a | 11/10/2011 | 13:34:20 | System Event #0x83 | OEM System boot event | Asserted
  1b | 11/10/2011 | 13:35:12 | Management Subsystem Health #0x10 | Sensor failure | Asserted
  1c | 11/10/2011 | 13:35:12 | Management Subsystem Health #0x10 | Sensor failure | Asserted
  1d | 11/10/2011 | 15:09:43 | Power Supply #0x50 | Config Error: Revision Mismatch | Deasserted
  1e | 11/10/2011 | 15:09:43 | Power Supply #0x50 | Config Error: Revision Mismatch | Asserted
  1f | 11/10/2011 | 15:09:51 | System Event #0x83 | Timestamp Clock Sync | Asserted
  20 | 11/10/2011 | 15:09:52 | System Event #0x83 | Timestamp Clock Sync | Asserted
  21 | 11/10/2011 | 15:10:20 | System Event #0x83 | OEM System boot event | Asserted
  22 | 11/17/2011 | 10:19:24 | Power Supply #0x50 | Config Error: Revision Mismatch | Deasserted
  23 | 11/17/2011 | 10:19:25 | Power Supply #0x50 | Config Error: Revision Mismatch | Asserted
  24 | 11/17/2011 | 10:19:32 | System Event #0x83 | Timestamp Clock Sync | Asserted
  25 | 11/17/2011 | 10:19:32 | System Event #0x83 | Timestamp Clock Sync | Asserted
  26 | 11/17/2011 | 10:20:18 | System Event #0x83 | OEM System boot event | Asserted
  27 | 11/23/2011 | 14:52:53 | Power Supply #0x50 | Config Error: Revision Mismatch | Deasserted
  28 | 11/23/2011 | 14:52:54 | Power Supply #0x50 | Config Error: Revision Mismatch | Asserted
  29 | 11/23/2011 | 14:53:01 | System Event #0x83 | Timestamp Clock Sync | Asserted
  2a | 11/23/2011 | 14:53:17 | System Event #0x83 | Timestamp Clock Sync | Asserted
  2b | 11/23/2011 | 14:53:45 | System Event #0x83 | OEM System boot event | Asserted
  2c | 12/01/2011 | 10:13:55 | Power Supply #0x50 | Config Error: Revision Mismatch | Deasserted
  2d | 12/01/2011 | 10:13:56 | Power Supply #0x50 | Config Error: Revision Mismatch | Asserted
  2e | 12/01/2011 | 10:14:03 | System Event #0x83 | Timestamp Clock Sync | Asserted
  2f | 12/01/2011 | 10:14:03 | System Event #0x83 | Timestamp Clock Sync | Asserted
  30 | 12/01/2011 | 10:14:52 | System Event #0x83 | OEM System boot event | Asserted
  31 | 12/01/2011 | 11:04:42 | Power Supply #0x50 | Config Error: Revision Mismatch | Deasserted
  32 | 12/01/2011 | 11:04:43 | Power Supply #0x50 | Config Error: Revision Mismatch | Asserted
  33 | 12/01/2011 | 11:04:50 | System Event #0x83 | Timestamp Clock Sync | Asserted
  34 | 12/01/2011 | 11:04:51 | System Event #0x83 | Timestamp Clock Sync | Asserted
  35 | 12/01/2011 | 11:05:19 | System Event #0x83 | OEM System boot event | Asserted
  36 | 12/08/2011 | 11:03:14 | Power Unit #0x01 | Failure detected | Asserted
  37 | 12/08/2011 | 11:03:15 | Power Unit #0x01 | Power off/down | Asserted
  38 | 12/08/2011 | 11:03:15 | Voltage #0xdd | Lower Non-critical going low 
  39 | 12/08/2011 | 11:03:15 | Voltage #0xdd | Lower Critical going low 
  3a | 12/08/2011 | 12:04:38 | Power Unit #0x01 | AC lost | Asserted
  3b | 12/08/2011 | 12:04:38 | Processor #0x70 | Presence detected | Asserted
  3c | 12/08/2011 | 12:04:38 | Processor #0x71 | Presence detected | Asserted
  3d | 12/08/2011 | 12:04:39 | Power Unit #0x01 | AC lost | Deasserted
  3e | 12/08/2011 | 12:04:58 | System Event #0x83 | Timestamp Clock Sync | Asserted
  3f | 12/08/2011 | 12:04:58 | System Event #0x83 | Timestamp Clock Sync | Asserted
